the_geom,Length,SegmentID,Width,Rating_B,RatingWord,Shape_len,Merged3.FID,Merged3.Street,Theft_rate,Subway,Rest,Graf,Theft_predicted
"LINESTRING (-74.15814229225596 40.632802464566524, -74.1581308854601 40.63254995933389)",224,8389,30.08,8,GOOD,92.04890005,5957,1 AVENUE,0,0,1,0,0.105
"LINESTRING (-74.15707517427734 40.63251297930107, -74.1581308854601 40.63254995933389)",270,8390,30.25,5,FAIR,293.3342803,5958,FREDERICK DOUGLASS BOULEVARD,0,0,0,0,0.05
"LINESTRING (-74.15644920677522 40.63136925416512, -74.15650795578115 40.630304194500106)",378,8391,60.08,9,GOOD,388.3722441,5959,PARK AVENUE,0,0,0,0,0.05
"LINESTRING (-74.15639420020095 40.63249469402216, -74.15707517427734 40.63251297930107)",174,8393,30.25,6,FAIR,189.1295852,5960,WEST 181 STREET,1,0,0,0,0.05
"LINESTRING (-74.15639420020095 40.63249469402216, -74.15644920677522 40.63136925416512)",433,8394,60.08,9,GOOD,410.3120764,5961,EAST 127 STREET,1,0,0,0,0.05
"LINESTRING (-74.15543745945998 40.60843510966098, -74.15554997572173 40.60880825015566)",139,8397,30,8,GOOD,139.4883508,5962,EAST 104 STREET,0,0,0,3,3.425
"LINESTRING (-74.15257569164433 40.60748649878658, -74.15240418661479 40.606506832860994)",160,8401,30,0,NR,360.0805465,5963,MADISON AVENUE,0,0,2,0,0.16
"LINESTRING (-74.15280053946294 40.60816691034228, -74.15257569164433 40.60748649878658)",309,8402,36,7,GOOD,255.6325488,5964,ADAM CLAYTON POWELL JR BOULEVARD,0,0,1,0,0.105
"LINESTRING (-74.15554997572173 40.60880825015566, -74.15557597033782 40.60891796211323, -74.1555904705682 40.60902889916564, -74.15559338588928 40.60914036243075, -74.15558469780468 40.60925165201062, -74.15556446104551 40.60936206607484, -74.15553280239287 40.60947091001149, -74.15548992068607 40.60957749917224, -74.15543608803117 40.60968116161571, -74.15537164021542 40.60978124544036, -74.15529675155057 40.609876319437674)",404,8403,30,8,GOOD,405.9553262,5965,EAST 103 STREET FOOTBRIDGE,0,0,0,0,0.05
"LINESTRING (-74.15529675155057 40.609876319437674, -74.15526252588265 40.60993578142365, -74.15523498812912 40.60999722800571, -74.15521433297752 40.610060222502696, -74.15520070707527 40.61012431914795, -74.15519420782417 40.610189061260925, -74.15519487979941 40.61025399040123, -74.15520271955305 40.6103186472771, -74.15521767080905 40.61038257083686, -74.15523962808969 40.6104453092434, -74.15526940085151 40.6105049153369)",112,8405,30,8,GOOD,236.1427087,5966,EAST 117 STREET,0,0,0,0,0.05
"LINESTRING (-74.15526940085151 40.6105049153369, -74.15566750462969 40.61133056128339)",410,8407,30,8,GOOD,320.4699674,5967,BROADWAY,0,0,3,0,0.215
"LINESTRING (-74.15452926605892 40.60972638988486, -74.15554997572173 40.60880825015566)",455,8408,30,0,NR,438.4198901,5968,ADAM CLAYTON POWELL JR BOULEVARD,0,0,0,0,0.05
"LINESTRING (-74.15452926605892 40.60972638988486, -74.15461158089565 40.60950120566866)",140,8409,30,0,NR,85.16454661,5969,WEST 155 STREET,0,0,0,0,0.05
"LINESTRING (-74.15423510382176 40.608672782126774, -74.15543745945998 40.60843510966098)",345,8410,30,7,FAIR,344.8941867,5970,EAST 110 STREET,2,1,1,1,2.389
"LINESTRING (-74.15423510382176 40.608672782126774, -74.15452926605892 40.60972638988486)",392,8411,30,0,NR,392.4499968,5971,WEST 172 STREET,0,0,0,0,0.05
"LINESTRING (-74.15421383697668 40.610380075658476, -74.15452926605892 40.60972638988486)",333,8412,30,0,NR,253.7479064,5972,EAST 109 STREET,0,0,0,0,0.05
"LINESTRING (-74.15421383697668 40.610380075658476, -74.150506702338 40.609904649872135)",1048,8413,30,0,NR,1043.77488,5973,EAST 109 STREET,0,0,0,0,0.05
"LINESTRING (-74.15407110940622 40.61095941959005, -74.15421383697668 40.610380075658476)",135,8414,30,0,NR,214.7580033,5974,EAST 109 STREET,0,0,0,0,0.05
"LINESTRING (-74.15392811354259 40.6114234821306, -74.15407110940622 40.61095941959005)",85,8415,30,0,NR,173.6692258,5975,EAST 109 STREET,0,0,0,0,0.05
